video_link,spot_products,brand_name,spot_language,brand_parent_name,spot_description
https://d3npuic909260z.cloudfront.net/001/312/681/AbxO.mp4,Samuel Adams Boston Ale | Samuel Adams Boston Lager | Samuel Adams Cherry Wheat | Samuel Adams Rebel IPA | Samuel Adams Summer Ale,Samuel Adams,en,Boston Beer Company,"Samuel Adams defines hops as the soul of craft beer. The differences in hops are illustrated with the help of a chalkboard; American hops are compared to a lumberjack chopping grapefruit, with pine and citrus flavors. German hops are described as a beautiful bouquet with thorns, both floral and spicy. English hops are mentioned as being earthy and delicate, equivalent to a beer-lovers cup of tea. Samuel Adams insists that whatever hops you like, its crafting a beer for you."
https://d3npuic909260z.cloudfront.net/001/339/395/AByb.mp4,Smirnoff (Beer) Electric Berry Ice,Smirnoff (Beer),en,Diageo,"Instagram celebrity Baddiewinkle spills the secret to staying young, or, as she calls it, 87 going on 27: pace yourself. All dressed up and boogieing at a disco party, she knows that occasionally putting down the Smirnoff Ice and drinking water means that she can dance longer."
https://d3npuic909260z.cloudfront.net/001/339/413/AByr.mp4,Smirnoff (Beer) Electric Berry Ice | Smirnoff (Beer) Electric Mandarin Ice,Smirnoff (Beer),en,Diageo,"Internet celebrity Baddiewinkle highlights the fact that Smirnoff Ice is non-carbonated. This is perfect for her, because you cant tell Baddie not to shake it, especially when shes busting moves at a disco party."
https://d3npuic909260z.cloudfront.net/001/389/410/AC7I.mp4,Coors Light Coors Light,Coors Light,es,Molson Coors Brewing Company,"Los retos en la vida podrán aparecer como montañas. Al llegar a la cima, la recompeza se ve más grande."
https://d3npuic909260z.cloudfront.net/001/472/852/AcAu.mp4,Coors Light Coors Light,Coors Light,es,Molson Coors Brewing Company,"Una montaña simboliza grandeza y retos. La montaña de Coors Light simboliza el reto de crear un planeta más sustentable. Por eso son los primeros en usar latas reciclables. Las fábricas de Coors están libres de residuos que van a centros de desperdicios. También construyeron un panel solar que es el más poderoso del país para una fábrica de cervezas. Pero la subida a la montaña de Coors no termina y hay que seguir empujando hacia adelante. Cualquiera que sea tu montaña, sigue subiendo."
https://d3npuic909260z.cloudfront.net/001/390/103/ACbI.mp4,Redds Apple Ale Ginger Apple Ale | Redds Apple Ale Redds Apple Ale,Redd's Apple Ale,en,Molson Coors Brewing Company,"At a 1980s-themed party, a man in a Michael Jackson-esque red leather vest does the robot. When a girl asks if anyone wants a beer, someone throws an apple at a man with a synthesizer and his friend, who then ask for a Redds Apple Ale. For a limited time, Redds is offering Ginger Apple Ale."
https://d3npuic909260z.cloudfront.net/001/390/546/ACBZ.mp4,Samuel Adams OctoberFest,Samuel Adams,en,Boston Beer Company,Samuel Adams is proud of its Octoberfest beer as the company points out that its Americas only Octoberfest beer poured in Munich in 2016.
https://d3npuic909260z.cloudfront.net/001/389/638/ACdJ.mp4,Coors Light Coors Light,Coors Light,es,Molson Coors Brewing Company,"Coors Light quiere que las personas levanten sus brazos al ganar, y justamente, levanten sus cervezas al celebrar. Un boxeador termina de competir y hace exactamente lo que Coors Light sugiere."
https://d3npuic909260z.cloudfront.net/001/390/481/ACTI.mp4,Miller Lite Miller Lite,Miller Lite,en,Molson Coors Brewing Company,"Miller Lite holds true to the belief that light beer shouldnt compromise on taste. After all, its tattooed on every bottleneck."
https://d3npuic909260z.cloudfront.net/001/389/945/ACts.mp4,Dos Equis Lager Especial,Dos Equis,en,Heineken International,"As a Dos Equis commercial plays on an old TV, a bartender looks at his only customer and wonders aloud if there will ever be anyone as interesting as the Dos Equis Most Interesting Man. Little does he know, this customer lives an exciting life of daring adventures every day. Dos Equis introduces the new Most Interesting Man in the World."
